"name","total_population","_2011_population","_2012_population","_2013_population","_2014_population","_2015_population","_2016_population","_2017_population","_2018_population","_2019_population","_2020_population","_2021_population","_2022_population","_2023_population","median_age","percent_immigrants","place_of_origin_europe","place_of_origin_asia","place_of_origin_africa","place_of_origin_oceania","place_of_origin_latin_america","place_of_origin_north_america","percent_europe","percent_asia","percent_africa","percent_oceania","percent_latin_america","percent_north_america","percent_veterans","percent_65_plus","percent_under_18","white","black_african_american","aian","asian_asian_american","nhopi","of_another_race","multiracial","hispanic_latina_o_x","mexican","puerto_rican","cuban","honduran","salvadoran","spanish","asian_indian","chinese","filipino","japanese","korean","vietnamese","other_asian","median_household_income","median_family_income","black_african_american_mfi","asian_asian_american_mfi","hispanic_latina_o_x_mfi","white_mfi","percent_low_moderate_income","percent_households_0_to_9","percent_households_10_000","percent_households_15_000","percent_households_25_000","percent_households_35_000","percent_households_50_000","percent_households_75_000","percent_households_100_000","percent_households_150_000","percent_households_200_000","occupied_housing_units","_1_unit_detached","_1_unit_attached","_2_units","_3_or_4_units","_5_to_9_units","_10_to_19_units","_20_units","mobile_home","boats_rvs_or_vans","percent_1_unit_detached","percent_1_unit_attached","percent_2_units","percent_3_or_4_units","percent_5_to_9_units","percent_10_to_19_units","percent_20_units","percent_mobile_home","percent_boats_rvs_or_vans","average_household_size","percent_households_with_at","total_families","average_family_size","percent_living_alone","unemployment_rate","population_age_16_in_the","private_employment_class","government_employment_class","self_employed_employment","percent_have_a_high_school","white_percent_with_a_hs","black_african_american_percent","asian_asian_american_percent","hispanic_latina_o_x_percent","percent_have_a_bachelor_s","white_percent_have_a_bachelor","black_african_american_percent_1","asian_asian_american_percent_1","hispanic_latina_o_x_percent_1","median_sales_price","average_monthly_rent","cost_burdened_households","cost_burdened_households_1","cost_burdened_households_2","cost_burdened_households_3","cost_burdened_households_4","percent_cost_burdened","income_restricted_housing","percent_people_without_health","people_under_19_without_health","people_65_and_over_without","percent_people_with_a","hearing_difficulty","vision_difficulty","cognitive_difficulty","ambulatory_difficulty","self_care_difficulty","independent_living_difficulty","percent_people_living_in","percent_people_living_in_1","percent_people_living_in_2","percent_people_living_in_3","percent_people_living_in_4","percent_people_living_in_5","percent_people_living_in_6","percent_households_utilizing","percent_households_utilizing_1","percent_households_utilizing_2","percent_households_utilizing_3","percent_households_utilizing_4","percent_households_utilizing_5","percent_households_utilizing_6","percent_households_utilizing_7","percent_households_with_no","percent_of_older_adults_65","percent_limited_english","percent_households_with_no_1","percent_owner_households","percent_owner_households_1","percent_owner_households_2","percent_owner_households_3","percent_owner_households_4","percent_renter_households","percent_renter_households_1","percent_renter_households_2","percent_renter_households_3","percent_renter_households_4","housing_units","population_density","daytime_population_density","spanish_speakers","other_indo_european_language","asian_and_pacific_island","other_language_speakers","drive_alone","carpool","public_transportation","walk","bicycle","taxi_motorcycle_or_other","work_from_home","percent_drive_alone","percent_carpool","percent_public_transportation","percent_walk","percent_bicycle","percent_taxi_motorcycle_or","percent_work_from_home","average_commute_time_minutes","median_commute_time_minutes","public_transit_stops","percent_land_use_civic","percent_land_use_commercial","percent_land_use_industrial","percent_land_use_mixed_use","percent_land_use_multifamily","percent_land_use_office","percent_land_use_open_space","percent_land_use_single_family","percent_land_use_undeveloped"
"Austin city","1025667.9708193",,,,,,,,,,,,,,"34.9","18.3","15157","62800","8867","496","89504","2643","8.445563808388172","34.99250558598517","4.940741194760039","0.2763739294689274","49.872121337070325","1.4726941443273693","3.7","10.3","17.2","452122","66919","874","91120","773","4340","43734","319818","235342","6987","8940","10590","9054","5269","37035","21222","4482","1442","6152","7248","15952","91501","129035","72333","174399","82560","161785","47.2","5","2.4","5","4.5","9","15.6","11.9","17.5","10.4","18.8","460159","215644","27126","15816","19599","29705","56430","134469","6939","393","42.60720262545913","5.35958792462672","3.1249444302844576","3.872394150805835","5.869149867324217","11.14950772641325","26.568547837374858","1.371016021860385","0.07764941585115022","2.01","20.6","215879","2.82","39.2","4","627045","79.2","13.8","7","92.6","98.2","89.1","95","81.9","61.7","71.9","45.3","82.1","40.4","572400","1435","35739","31947","36863","47186","34786","39.2","37741","11.1","15997","769","10","22325","18393","45906","37919","11467","27105","12","20.1","8.8","15.2","15.7","17.3","7.7","5.9","19.7","5","2.7","12.9","27.1","49.7","26.6","6.8","29.2","9.9","5","43.5","43.2","27","35.8","50.1","56.5","56.8","73","64","49.9","488911","3141","3735","193790","43707","46198","9838","349534","38220","9507","12926","4896","9782","166315","59.1","6.5","1.6","2.2","0.8","1.7","28.1","23.2",,"2269","3.644195106044026","3.623054452322858","4.377715961435671","0.1019667127587745","5.492975391445235","4.173401959943741","30.76032931513533","26.48694685660993","16.7736291462791"
"Austin-Round Rock-Georgetown MSA","2473275","1783519","1834303","1883051","1943299","2000860","2056405","2115827","2168316","2227083","2283371","2352426","2421115","2473275","36.3","16","33277","141374","19579","1065","192793","6571","8.43183609141056","35.821810727742175","4.960991640884916","0.26985321505400867","48.85052665719013","1.6649816677182072","5.6","12.3","21.4","1194714","170612","2695","193555","2041","13449","99945","796264","610090","21246","17676","23368","20246","13417","81868","36254","12789","2950","11291","18214","34154","98508","123872","88700","190357","90652","142374","43.2","4.5","2","4","4.4","8.6","15.2","12.1","19","11.5","18.9","1036074","638497","41801","25198","28372","44883","79712","185326","44336","2049","58.568356977876924","3.8343420408118334","2.311374147613133","2.6025203316167875","4.1170492049892955","7.311860308537903","16.99967161205459","4.066873728413997","0.18795164808553497","2.34","28.2","606127","3.01","30.4","3.9","1441240","78.4","14.7","6.9","92.5","97.7","92","95.4","81.2","52.1","60.1","40.2","79.2","31.7","445000","1400","64843","60088","70180","91686","73853","34.8",,"11.1","51477","3119","10.3","66012","42651","113408","97405","34888","73046","9.5","12.7","6.4","14.1","12","13.4","6.7","5.5","18.2","2.8","2.4","10.8","22.8","43.2","34.3","5","23.8","8.8","4.9","58.1","61.2","42.5","51","63.5","41.9","38.8","57.5","49","36.5",,"596.3","599.2","452940","88617","97232","21496","859619","102746","12106","23626","5519","19532","339824","63.1","7.5","0.9","1.7","0.4","1.4","24.9","27.2",,,,,,,,,,,
"Travis County","1334961","1063130","1095584","1120954","1151145","1176558","1199323","1226698","1248743","1273954","1290188","1305154","1326436","1334961","36.1","17.8","20833","80049","14269","736","118071","3961","8.756341443936803","33.64548438754366","5.9974192897582785","0.3093489801150812","49.62655357495618","1.6648523236899953","4.5","11.4","19.7","624009","104017","1559","109888","914","6704","55708","432162","323809","8310","13565","14162","9343","8749","41558","23920","5136","1883","6001","12344","21797","97543","129744","84296","180846","89687","159245","44.4","4.7","2.1","4.4","4.2","8.5","15.4","11.7","17.8","11","20.3","608921","331139","29713","15724","20530","31111","57883","141177","16766","903","51.34367838547723","4.6070523733769955","2.4380335718029107","3.183212237923795","4.823814706967715","8.974859910752219","21.88973960610656","2.599597485680972","0.14001172191160188","2.15","24","316547","2.89","34.8","4","812412","78.4","14.2","7.4","92.8","98.4","90.8","95","82","58.7","69","44.5","79.2","37.3","515000","1444","39562","37192","43712","58636","46467","37",,"10.9","26578","1370","9.8","32162","22265","60031","50353","19031","37053","10.2","13.7","8.5","14.4","13.6","14.7","6.6","5.9","20.4","3.9","3.5","14.3","24.5","46.6","28.4","5.5","25.5","9.6","4.7","52.2","52.8","40.4","44","58.3","47.8","47.2","59.6","56","41.7",,"1353","1504","258333","54801","54649","15814","463456","52643","10118","15133","4909","10257","210230","60.4","6.9","1.3","2","0.6","1.3","27.4","24.6",,,,,,,,,,,
"Council District 1","111838",,,,,,,,,,,,,,"34.1","21.5",,,,,,,,,,,,,"3.9","9.4","21.7","33213.69","17102.6","61.03","7297.570000000001","23.95","316.32","4187.41","39647.55",,,,,,,,,,,,,,"88220","97113",,,,,"60.35120000000001",,,,,,,,,,,"43513",,,,,,,,,,,,,,,,,,,"2.5","28.1","22691.65",,"30.8","3.9","61062.02","77.1","16.6","6.3","86.8",,,,,"44.7",,,,,"437290","1317","3293.33","3420.53","2998.99","2827.16","2198.05","36",,"15.1","2596.03","267.77","11.2","2375","2152","5062","5050","2318","3781","15.3","20.7","13.4","13.6","17.7","17.6","11","12.4",,,,,,,,"7.9","26.9","14.7","7.7","55",,,,,"45",,,,,"45450","2293.2","2078","25493","2336.6","4679.34","3115.47","35846.22","5160.04","999.8399999999999","812.23","419.1900000000001","601.6500000000001","13946.26","62","8.9","1.7","1.4","0.7","1","24.1",,"23.1",,"3.840818636487656","2.545943349512716","7.206629446914448","0.00632319736262247","3.713979127625705","3.172486983045141","19.05798115493549","25.47055013456411","33.53443414965164"
"Council District 2","108044",,,,,,,,,,,,,,"34.7","19.1",,,,,,,,,,,,,"4.6","9","21.8","27880.84","6294.690000000001","243.84","2802.37","0","497.14","2474.94","58164.4",,,,,,,,,,,,,,"80101","87871",,,,,"53.84520000000001",,,,,,,,,,,"41436",,,,,,,,,,,,,,,,,,,"2.5","30.4","23407.29",,"27.1","5","59727.56","76.5","15.4","8.1","80.8",,,,,"35.1",,,,,"394700","1315","2685.14","2293","3697.95","3341.92","1699.13","35.1",,"20.1","3364.81","275.18","11.2","2809","2111","4216","4622","1842","3383","11.9","15.8","4.4","10.3","15.1","13.1","9.6","9.8",,,,,,,,"5","26.5","17.4","12.3","55.8",,,,,"44.2",,,,,"43220","2315.6","1898.8","35727.05","1207.23","1323.8","334.7","37988.96","5248.799999999999","877.8100000000001","567.97","56.34","962.2500000000001","9851.810000000001","68.4","9.4","1.6","1","0.1","1.7","17.7",,"27.4",,"2.645001266476183","1.62261286155666","10.44666327045841","0","2.360044398331839","2.456642941398492","12.19780892564705","20.01246502009814","30.31606141752548"
"Council District 3","102162",,,,,,,,,,,,,,"31.9","18.3",,,,,,,,,,,,,"2.3","6.1","14.6","36691.63","5773.06","99.04","3165.83","26.04","128.22","3072.49","38523.69",,,,,,,,,,,,,,"77405","90043",,,,,"65.57469999999999",,,,,,,,,,,"49746",,,,,,,,,,,,,,,,,,,"2","15.6","14805.78",,"45.1","5.2","61325.76","79.6","13.7","6.7","87",,,,,"52.4",,,,,"543775","1476","4387.53","3718.49","3689.1","3236.31","2240","39.4",,"17.4","1925.48","185.54","11","2010","1649","4879","3014","1003","2854","20.5","27.4","15","24.2","19.2","28","12.4","9.4",,,,,,,,"10.3","36.3","11.8","11.2","27.2",,,,,"72.8",,,,,"53419","5433.7","5723.7","23627.84","1834.24","1377.21","1588.95","33217.34","4743.77","2314.53","1202.48","869.78","1013.28","13799.17","58.1","8.3","4","2.1","1.5","1.8","24.1",,"19.7",,"6.577842123770542","6.825848253059139","8.170036731534859","0.3810921969707742","14.47329013007276","9.16840654374456","13.94391698464795","25.69009136961096","7.280581041271231"
"Council District 4","97536",,,,,,,,,,,,,,"33.5","31.1",,,,,,,,,,,,,"4.3","9.5","23.2","26480.83","9596.35","49","4383.6","18.42","323.68","2609.19","52225.55",,,,,,,,,,,,,,"59052","60973",,,,,"70.6341",,,,,,,,,,,"39449",,,,,,,,,,,,,,,,,,,"2.4","27.2","20559.03",,"34.4","6","54732.2","78","14.7","7.3","80.5",,,,,"38.1",,,,,"450000","1352","5478.59","4070.64","4539.11","3086.48","1303.78","45.6",,"24.5","4340.75","114.38","13.7","2109","2599","6567","6157","2083","4315","22.3","28.6","34.3","25.5","23.1","27","10.5","15",,,,,,,,"12","36.8","26.9","15.4","32.1",,,,,"67.9",,,,,"41932","6804.7","7227.1","37187.62","1961.85","2061.52","1444.96","28445.07","7432.13","1882.64","1052.19","250.37","1165.23","9943.710000000001","56.7","14.8","3.8","2.1","0.5","2.3","19.8",,"22",,"5.579966891228034","14.14241399745317","10.92514891130801","0.09592399295771825","13.55359770064786","7.169567857862318","3.268185826421861","42.20147408054243","2.34018555751352"
"Council District 5","102469",,,,,,,,,,,,,,"36.6","9.6",,,,,,,,,,,,,"6","11.9","16.6","51594.23","4363.559999999999","191.36","3935.21","3","647.06","4889.14","30457.96",,,,,,,,,,,,,,"97181","126580",,,,,"43.83580000000001",,,,,,,,,,,"49053",,,,,,,,,,,,,,,,,,,"2","21.8","22410.12",,"37.5","4","63157.56","75.5","16.7","7.8","95.2",,,,,"58.5",,,,,"493500","1358","3404.37","2300.48","3565.1","3984.31","2393.57","33.4",,"11.3","1640.26","69.15","9.7","2302","1511","3950","3425","1443","3098","9.8","17.4","9.6","16.1","6.6","13.8","6.9","3.4",,,,,,,,"4.5","32.1","5","5.2","50.7",,,,,"49.3",,,,,"51451","4237.8","3215.8","14399.22","1698.04","1748.71","301.32","36878.88","3171.64","683.5999999999999","500.67","240.6","509.79","17415.14","62.1","5.3","1.2","0.8","0.4","0.9","29.3",,"24.7",,"2.428245546948052","4.348794389426926","0.6943675006379604","0","9.529262661971897","2.387270932972687","14.26440327755513","48.69643545273208","17.41934239373187"
"Council District 6","98575",,,,,,,,,,,,,,"36.7","24.5",,,,,,,,,,,,,"4.6","11","21.5","47901.7","5245.42","70.92","22404.45","54.38","616.13","4415.160000000001","17825.62",,,,,,,,,,,,,,"108862","154923",,,,,"32.1357",,,,,,,,,,,"42106",,,,,,,,,,,,,,,,,,,"2.3","31.9","25641.1",,"30.9","4","59987.4","83","11.3","5.7","95.9",,,,,"63.8",,,,,"543750","1285","2428.67","2499.11","2926.41","3464.68","2433.4","32.2",,"8.1","819.4499999999999","369.34","7.8","2259","1317","3457","3106","880","2399","6","20","4.4","9.3","3.1","4.8","5.7","3.1",,,,,,,,"4.2","24.6","8.4","3.4","46",,,,,"54",,,,,"44461","3063.3","3251.8","8962.91","8290.66","12097.15","1170.59","35188.64","2760.34","403.66","560.35","88.17999999999999","1392.4","16545.98","61.8","4.8","0.7","1","0.2","2.4","29.1",,"23.4",,"3.389973752710794","6.077908465270075","2.391022796338031","0.1136811382932826","6.929118581030673","5.08389822401988","18.72931126469054","27.33282834952263","27.822143800932"
"Council District 7","100131",,,,,,,,,,,,,,"34.6","16",,,,,,,,,,,,,"3.8","9.8","15.2","52576.52","8074.83","50.6","9746.039999999999","75.7","336.86","4118.54","22906.59",,,,,,,,,,,,,,"89536","128762",,,,,"45.7217",,,,,,,,,,,"50902",,,,,,,,,,,,,,,,,,,"2","18.7","21121.55",,"43.2","4","66033.11","80.2","14","5.8","95.1",,,,,"61.6",,,,,"570000","1333","3293.76","3049.42","3220.89","5613.110000000001","2621.71","35.5",,"9.9","1222.46","56.05","9.9","2498","1790","4434","3364","1208","2777","8.4","12.2","6.8","20.3","9.5","13.5","6.3","3.4",,,,,,,,"5.4","36.6","7.1","4","38.6",,,,,"61.4",,,,,"53671","3784.3","5208.7","12779.49","3838.72","4764.46","1536.74","36270.44","4447.150000000001","1017.19","868.52","622.96","761.09","18710.18","57.8","7.1","1.6","1.4","1","1.2","29.8",,"20.2",,"6.079053356761984","9.630808861344732","9.93419310175322","0.4268436008662935","9.940818576992875","8.360405697523762","7.626009491367415","32.52597055449885","7.824382867601059"
"Council District 8","98436",,,,,,,,,,,,,,"39.5","13.2",,,,,,,,,,,,,"4.5","12.9","22.6","60571.57","2224.75","72.04","7935.81","0","132.67","4466.67","19336.36",,,,,,,,,,,,,,"131257","173744",,,,,"23.7148",,,,,,,,,,,"41812",,,,,,,,,,,,,,,,,,,"2.4","33.1","25455.44",,"28.4","3.7","54929.45","77.4","13.6","9","97.2",,,,,"71.6",,,,,"710000","1518","1683.98","1157.36","2174.6","2977.74","3329.57","28.2",,"5.5","653.3800000000001","139.05","6.1","1963","721","2051","2088","832","1851","5.3","6","3.5","9.8","6","8.4","4.7","1.5",,,,,,,,"2.2","20.7","4.9","4.7","61.5",,,,,"38.5",,,,,"43935","2046.6","2317.9","9283.880000000001","3212.27","3528.95","886.73","30869.19","2440.59","297.86","592.24","89.48","425","17744.39","58.8","4.7","0.6","1.1","0.2","0.8","33.8",,"23.9",,"1.308462677725014","1.758450326030691","0.4175100496192588","0","2.939296541675342","3.027840675864387","65.03056633595757","17.44251775927787","7.719691233993157"
"Council District 9","110675",,,,,,,,,,,,,,"29.3","11.9",,,,,,,,,,,,,"2","7.9","7","57295.88","5228.02","203.61","9512.79","45.96","529.88","4035.59","19009.18",,,,,,,,,,,,,,"92593","179974",,,,,"48.7483",,,,,,,,,,,"56270",,,,,,,,,,,,,,,,,,,"2","8.5","12440.67",,"50.2","4.9","63097.07","74.7","18","7.4","97.5",,,,,"78.1",,,,,"665000","2047","5312.62","3949.17","3103.52","3232.83","4058.72","41.9",,"8.3","879.53","145.25","7.3","1274","1419","3749","1847","965","1964","18.7","30.4","37","18.5","18.4","27.1","13.3","3.3",,,,,,,,"12.4","41.9","3.3","8","32.2",,,,,"67.8",,,,,"62224","8735.9","22313.5","10230.32","4018.24","5333.71","800.04","25746.85","2132.67","2486.93","6760.26","1447.71","1166.15","18899.39","43.9","3.6","4.2","11.5","2.5","2","32.2",,"18",,"17.86503629797279","8.244106524856527","1.075726759006012","1.875038338643793","12.77289571676419","11.31389767824983","8.573537829634704","34.85279828358709","1.145677571610748"
"Council District 10","95802",,,,,,,,,,,,,,"39.7","13.9",,,,,,,,,,,,,"4.4","15.3","18.3","68964.11","2904.55","112.83","8461.3","229","275.98","4322","15313.62",,,,,,,,,,,,,,"113694","185368",,,,,"23.0962",,,,,,,,,,,"45872",,,,,,,,,,,,,,,,,,,"2.1","23.8","25159.19",,"35.5","4.6","59764.29","78.1","13.1","8.8","98.4",,,,,"75",,,,,"959500","1466","2558.32","2547.23","3961.08","3051.87","3793.77","33.3",,"5.9","368.58","63.16","7.4","2545","1263","2981","2756","1070","2407","6.6","24.2","9.1","17.9","6.7","10.1","4.8","1.2",,,,,,,,"5","30.6","4","4.2","53.4",,,,,"46.6",,,,,"49148","1670","2407.1","7322.110000000001","4768.53","4458.18","837.55","33769.51","1677.21","887.18","691.7","322.4","636.62","17795.12","60.5","3","1.6","1.2","0.6","1.1","31.9",,"20.6",,"4.117114578537561","1.678059150318489","0.6645585181017925","0","4.399271398959089","3.91884880805508","44.81558003236454","30.06207429632753","7.966216314364749"
